--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
163,Zack Mitchell,2017,2018,2,34,3,2,5,-3,4,2,1,0,1,2,0,0,27,11.1,335,9:51,mitchza01
164,Roman Šimíček,2001,2002,2,34,4,4,8,-3,29,2,2,0,0,2,2,0,18,22.2,434,12:46,simicro01
165,Tyson Jost,2022,2023,2,33,2,7,9,-4,15,2,0,0,2,7,0,0,31,6.5,423,12:49,jostty01
166,Eric Chouinard,2004,2004,1,31,3,4,7,-7,6,3,0,0,1,3,1,0,45,6.7,422,13:36,chouier01
167,Peter Ölvecký,2009,2009,1,31,2,5,7,1,12,2,0,0,1,3,2,0,19,10.5,277,8:55,olvecpe01
168,Maxim Sushinsky,2001,2001,1,30,7,4,11,-7,29,4,3,0,0,3,1,0,62,11.3,420,14:01,sushima01
169,Erik Christensen,2012,2012,1,29,6,1,7,-13,6,4,2,0,1,1,0,0,34,17.6,347,11:59,chriser01
170,Hnat Domenichelli,2002,2003,2,28,1,5,6,-5,10,1,0,0,0,4,1,0,58,1.7,353,12:37,domenhn01
171,Matt Kassian,2011,2012,2,28,2,0,2,-3,67,2,0,0,0,0,0,0,14,14.3,155,5:32,kassima01
172,Kyle Rau,2018,2022,4,28,0,4,4,-4,9,0,0,0,0,4,0,0,28,0.0,253,9:02,rauky01
173,Mattias Weinhandl,2006,2007,2,27,3,4,7,-2,20,3,0,0,0,4,0,0,20,15.0,298,11:03,weinhma01
174,Cody Almond,2010,2012,3,25,2,0,2,-8,26,2,0,0,0,0,0,0,16,12.5,213,8:30,almonco01
175,Adam Hall,2007,2007,1,23,2,3,5,2,8,2,0,0,0,3,0,0,42,4.8,281,12:13,hallad01
176,Ryan Murphy,2018,2019,2,23,2,3,5,9,16,1,1,0,0,3,0,0,26,7.7,418,18:12,murphry01
177,Pontus Åberg,2019,2019,1,22,1,5,6,-4,6,1,0,0,0,2,3,0,27,3.7,283,12:52,abergpo01
178,Matt Hendricks,2019,2019,1,22,0,2,2,-2,19,0,0,0,0,2,0,0,20,0.0,198,8:59,hendrma01
179,Zbyněk Michálek,2004,2004,1,22,1,1,2,-7,4,1,0,0,0,1,0,0,17,5.9,313,14:13,michazb01
180,Krys Kolanos,2009,2009,1,21,3,3,6,3,16,2,1,0,0,2,1,0,30,10.0,223,10:36,kolankr01
181,Patrick O'Sullivan,2011,2011,1,21,1,6,7,-1,2,1,0,0,0,3,3,0,37,2.7,289,13:46,osullpa01
182,Marco Rossi,2022,2023,2,21,0,1,1,-8,12,0,0,0,0,1,0,0,18,0.0,269,12:49,rossima01
183,Nicolas Deslauriers,2022,2022,1,20,3,0,3,-2,23,3,0,0,1,0,0,0,18,16.7,211,10:32,deslani01
184,Martin Hanzal,2017,2017,1,20,4,9,13,-2,10,3,1,0,0,9,0,0,43,9.3,310,15:31,hanzama01
185,Steve McKenna,2001,2001,1,20,1,1,2,0,19,1,0,0,0,1,0,0,12,8.3,160,7:59,mckenst01
186,Matt Moulson,2014,2014,1,20,6,7,13,7,8,5,1,0,3,5,2,0,43,14.0,329,16:27,moulsma01
187,Pavel Patera,2001,2001,1,20,1,3,4,-8,4,1,0,0,0,2,1,0,14,7.1,289,14:27,paterpa01
188,Rem Pitlick,2022,2022,1,20,6,5,11,1,12,6,0,0,1,5,0,0,13,46.2,194,9:42,pitlire01
