--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
211,Stéphane Matteau,1992,1994,3,164,35,42,77,19,198,30,5,0,6,35,3,4,239,14.6,,,mattest01
212,Dave Hutchison,1980,1982,3,163,7,32,39,16,443,6,0,1,0,32,0,0,187,3.7,,,hutchda01
213,Artemi Panarin,2016,2017,2,162,61,90,151,26,53,44,17,0,12,66,24,0,398,15.3,3078,19:00,panarar01
214,Nick Schmaltz,2017,2019,3,162,29,62,91,7,30,24,5,0,2,49,11,2,217,13.4,2638,16:17,schmani01
215,Ty Arbour,1928,1931,4,160,21,20,41,,100,,,,5,,,,,,,,arbouty01
216,Doug Crossman,1981,1983,3,159,25,70,95,-4,72,12,13,0,2,41,29,0,278,9.0,,,crossdo01
217,Jim McFadden,1952,1954,3,159,36,48,84,,49,25,6,5,4,37,10,1,,,,,mcfadji01
218,Christian Ruuttu,1993,1995,3,158,28,62,90,13,208,22,4,2,8,47,15,0,308,9.1,,,ruuttch01
219,Trevor van Riemsdyk,2015,2017,3,158,8,23,31,12,62,8,0,0,3,20,2,1,179,4.5,2950,18:40,vanritr01
220,Murray Craven,1995,1997,3,157,30,59,89,22,50,21,8,1,10,50,8,1,237,12.7,,,cravemu01
221,Colin Fraser,2007,2010,4,157,13,23,36,6,108,12,0,1,0,21,1,1,163,8.0,1610,10:15,fraseco01
222,Roger Jenkins,1931,1939,5,156,7,22,29,,107,3,0,1,1,10,0,0,,,,,jenkiro01
223,Ben Smith,2011,2015,5,156,23,16,39,-1,4,22,1,0,2,15,1,0,192,12.0,2013,12:54,smithbe01
