--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
198,Inge Hammarström,1978,1979,2,135,31,41,72,-37,12,28,3,0,3,34,7,0,293,10.6,,,hammain01
199,Mike Weaver,2009,2010,2,135,1,16,17,7,41,1,0,0,0,14,0,2,69,1.4,2307,17:05,weavemi01
200,Harry York,1997,1998,2,132,18,24,42,1,55,14,3,1,3,22,2,0,128,14.1,,,yorkha01
201,Charlie Bourgeois,1986,1988,3,127,4,20,24,20,358,3,1,0,2,18,1,1,96,4.2,,,bourgch01
202,Barry Gibbs,1978,1979,2,127,8,39,47,-52,91,4,4,0,0,30,9,0,186,4.3,,,gibbsba01
203,Mike Murphy,1972,1973,2,127,38,50,88,9,67,30,8,0,6,37,12,1,358,10.6,,,murphmi01
204,Bill Plager,1969,1972,4,127,2,18,20,-20,141,2,0,0,1,16,1,1,120,1.7,,,plagebi01
205,Eric Boguniecki,2001,2006,5,125,29,36,65,17,66,22,6,1,7,27,9,0,180,16.1,1735,13:53,boguner01
206,Pat Hickey,1983,1985,3,125,19,24,43,-7,56,16,0,3,2,23,0,1,134,14.2,,,hickepa01
207,Todd Ewen,1987,1990,4,124,10,7,17,-4,493,10,0,0,0,7,0,0,74,13.5,,,ewento01
208,Neil Komadoski,1978,1980,3,124,3,22,25,-51,155,3,0,0,0,19,2,1,76,3.9,,,komadne01
209,Igor Kravchuk,1996,1997,2,122,7,36,43,1,59,6,1,0,1,19,17,0,256,2.7,,,kravcig01
210,Steve Ott,2014,2016,3,122,3,14,17,-23,157,3,0,0,0,14,0,0,98,3.1,1469,12:03,ottst01
211,Ron Schock,1968,1969,2,122,21,36,57,-13,31,13,8,0,4,31,4,1,275,7.6,,,schocro01
212,Dennis Wideman,2006,2007,2,122,13,33,46,-38,127,3,9,1,2,13,20,0,244,5.3,2564,21:01,widemde01
213,Bruce Bell,1986,1987,2,120,5,31,36,7,61,2,3,0,0,16,15,0,145,3.4,,,bellbr01
214,Gaston Gingras,1988,1989,2,120,10,32,42,1,24,5,5,0,0,16,16,0,229,4.4,,,gingrga01
215,Stéphane Matteau,1996,1997,2,120,23,33,56,7,115,17,4,2,4,28,4,1,168,13.7,,,mattest01
216,Christian Bordeleau,1971,1972,2,119,29,41,70,0,54,23,4,2,8,30,10,1,305,9.5,,,bordech01
217,Gilbert Delorme,1984,1985,2,118,2,17,19,-1,94,1,1,0,0,16,1,0,154,1.3,,,delorgi01
218,Maxim Lapierre,2014,2015,2,116,11,13,24,-5,94,11,0,0,1,13,0,0,121,9.1,1259,10:51,lapiema01
