--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,Scoring,,,Scoring,,Goals,,,,Assists,,,,,Ice Time,,-additional
Rk,Player,From,To,Yrs,GP▼,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
297,Jack Riley,1934,1935,2,95,10,22,32,,8,9,1,0,1,20,1,1,,,,,rileyja01
298,Lou Trudel,1939,1941,3,95,22,23,45,,28,19,2,1,3,18,5,0,,,,,trudelo01
299,Daniel Carr,2016,2018,3,94,14,20,34,6,22,11,3,0,2,19,1,0,135,10.4,1077,11:28,carrda01
300,Matt D'Agostini,2008,2010,3,94,14,11,25,-29,44,11,3,0,1,9,2,0,164,8.5,1115,11:52,dagosma01
301,Larry Pleau,1970,1972,3,94,9,15,24,-6,22,8,0,1,3,13,0,2,110,8.2,,,pleaula01
302,Eddie Mazur,1954,1955,2,92,8,19,27,,116,7,1,0,1,16,3,0,,,,,mazured01
303,Rem Pitlick,2022,2023,2,92,15,26,41,-24,34,13,1,1,1,24,1,1,82,18.3,1389,15:06,pitlire01
304,David Wilkie,1995,1998,4,91,8,14,22,-20,77,4,4,0,1,10,4,0,106,7.5,,,wilkida01
305,Donald Audette,2002,2004,3,90,15,22,37,-10,43,11,4,0,5,7,15,0,192,7.8,1376,15:18,audetdo01
306,Jean Gauthier,1961,1970,7,90,1,20,21,3,68,0,1,0,0,14,6,0,91,1.1,,,gauthje01
307,Glen Metropolit,2009,2010,2,90,18,14,32,-5,37,8,10,0,1,11,3,0,134,13.4,1180,13:07,metrogl01
308,Mike Reilly,2018,2020,3,90,3,20,23,3,30,2,1,0,1,18,2,0,151,2.0,1644,18:16,reillmi01
309,Michael Bournival,2014,2015,2,89,10,9,19,-3,22,9,1,0,2,7,2,0,105,9.5,848,9:32,bournmi01
310,Tyler Toffoli,2021,2022,2,89,37,33,70,-8,28,23,11,3,5,25,7,1,258,14.3,1559,17:31,toffoty01
